TEMPORADA,DIVISIÓN,JORNADA,LOCAL,VISITANTE,RESULTADO
1991-1992,1,1,Cádiz          ,Logroñés       ,2-0
1991-1992,1,1,Tenerife       ,Dptivo. Coruña ,1-0
1991-1992,1,1,Valencia       ,Albacete       ,1-1
1991-1992,1,1,Osasuna        ,Burgos (Real)  ,1-1
1991-1992,1,1,At. Madrid     ,Mallorca       ,3-0
1991-1992,1,1,Oviedo         ,Espanyol       ,1-0
1991-1992,1,1,Zaragoza       ,Real Sociedad  ,1-3
1991-1992,1,2,Sporting Gijón ,Sevilla        ,2-1
1991-1992,1,2,Real Madrid    ,Ath. Bilbao    ,5-0
1991-1992,1,2,Logroñés       ,Valladolid     ,0-0
1991-1992,1,2,Dptivo. Coruña ,Cádiz          ,1-1
1991-1992,1,2,Albacete       ,Tenerife       ,1-1
1991-1992,1,2,Burgos (Real)  ,Valencia       ,2-1
1991-1992,1,2,Mallorca       ,Osasuna        ,1-1
1991-1992,1,2,Espanyol       ,At. Madrid     ,1-2
1991-1992,1,2,Real Sociedad  ,Oviedo         ,2-1
1991-1992,1,2,Zaragoza       ,Barcelona      ,0-4
1991-1992,1,3,Barcelona      ,Sporting Gijón ,1-1
1991-1992,1,3,Sevilla        ,Real Madrid    ,1-0
1991-1992,1,3,Ath. Bilbao    ,Logroñés       ,1-2
1991-1992,1,3,Valladolid     ,Dptivo. Coruña ,2-0
1991-1992,1,3,Cádiz          ,Albacete       ,1-1
1991-1992,1,3,Tenerife       ,Burgos (Real)  ,4-1
1991-1992,1,3,Valencia       ,Mallorca       ,1-1
1991-1992,1,3,Osasuna        ,Espanyol       ,0-1
1991-1992,1,3,At. Madrid     ,Real Sociedad  ,5-1
1991-1992,1,3,Oviedo         ,Zaragoza       ,2-1
1991-1992,1,4,Real Madrid    ,Sporting Gijón ,1-0
1991-1992,1,4,Logroñés       ,Sevilla        ,1-0
1991-1992,1,4,Dptivo. Coruña ,Ath. Bilbao    ,0-0
1991-1992,1,4,Albacete       ,Valladolid     ,3-1
1991-1992,1,4,Burgos (Real)  ,Cádiz          ,1-1
1991-1992,1,4,Mallorca       ,Tenerife       ,0-2
1991-1992,1,4,Espanyol       ,Valencia       ,0-0
1991-1992,1,4,Real Sociedad  ,Osasuna        ,0-0
1991-1992,1,4,Zaragoza       ,At. Madrid     ,1-0
1991-1992,1,4,Oviedo         ,Barcelona      ,0-2
1991-1992,1,5,Barcelona      ,Real Madrid    ,1-1
1991-1992,1,5,Sporting Gijón ,Logroñés       ,1-1
1991-1992,1,5,Sevilla        ,Dptivo. Coruña ,0-0
1991-1992,1,5,Ath. Bilbao    ,Albacete       ,1-0
1991-1992,1,5,Valladolid     ,Burgos (Real)  ,2-0
1991-1992,1,5,Cádiz          ,Mallorca       ,1-3
1991-1992,1,5,Tenerife       ,Espanyol       ,0-1
1991-1992,1,5,Valencia       ,Real Sociedad  ,1-2
1991-1992,1,5,Osasuna        ,Zaragoza       ,1-0
1991-1992,1,5,At. Madrid     ,Oviedo         ,3-1
1991-1992,1,6,Logroñés       ,Real Madrid    ,1-0
1991-1992,1,6,Dptivo. Coruña ,Sporting Gijón ,5-2
1991-1992,1,6,Albacete       ,Sevilla        ,0-0
1991-1992,1,6,Burgos (Real)  ,Ath. Bilbao    ,2-0
1991-1992,1,6,Mallorca       ,Valladolid     ,1-1
1991-1992,1,6,Espanyol       ,Cádiz          ,3-1
1991-1992,1,6,Real Sociedad  ,Tenerife       ,1-0
1991-1992,1,6,Zaragoza       ,Valencia       ,0-3
1991-1992,1,6,Oviedo         ,Osasuna        ,3-1
1991-1992,1,6,At. Madrid     ,Barcelona      ,2-2
1991-1992,1,7,Barcelona      ,Logroñés       ,1-0
1991-1992,1,7,Real Madrid    ,Dptivo. Coruña ,1-0
1991-1992,1,7,Sporting Gijón ,Albacete       ,0-2
1991-1992,1,7,Sevilla        ,Burgos (Real)  ,3-2
1991-1992,1,7,Ath. Bilbao    ,Mallorca       ,2-0
1991-1992,1,7,Valladolid     ,Espanyol       ,0-0
1991-1992,1,7,Cádiz          ,Real Sociedad  ,0-0
1991-1992,1,7,Tenerife       ,Zaragoza       ,1-0
1991-1992,1,7,Valencia       ,Oviedo         ,6-3
1991-1992,1,7,Osasuna        ,At. Madrid     ,1-1
1991-1992,1,8,Dptivo. Coruña ,Logroñés       ,2-2
1991-1992,1,8,Albacete       ,Real Madrid    ,1-3
1991-1992,1,8,Burgos (Real)  ,Sporting Gijón ,0-1
1991-1992,1,8,Mallorca       ,Sevilla        ,1-0
1991-1992,1,8,Espanyol       ,Ath. Bilbao    ,2-0
1991-1992,1,8,Real Sociedad  ,Valladolid     ,1-0
1991-1992,1,8,Zaragoza       ,Cádiz          ,3-0
1991-1992,1,8,Oviedo         ,Tenerife       ,2-0
1991-1992,1,8,At. Madrid     ,Valencia       ,1-0
1991-1992,1,8,Osasuna        ,Barcelona      ,0-0
1991-1992,1,9,Barcelona      ,Dptivo. Coruña ,4-1
1991-1992,1,9,Logroñés       ,Albacete       ,1-1
1991-1992,1,9,Real Madrid    ,Burgos (Real)  ,2-0
1991-1992,1,9,Sporting Gijón ,Mallorca       ,2-0
1991-1992,1,9,Sevilla        ,Espanyol       ,2-1
1991-1992,1,9,Ath. Bilbao    ,Real Sociedad  ,2-1
1991-1992,1,9,Valladolid     ,Zaragoza       ,0-0
1991-1992,1,9,Cádiz          ,Oviedo         ,3-1
1991-1992,1,9,Tenerife       ,At. Madrid     ,0-1
1991-1992,1,9,Valencia       ,Osasuna        ,1-2
1991-1992,1,0,Albacete       ,Dptivo. Coruña ,3-0
1991-1992,1,0,Burgos (Real)  ,Logroñés       ,2-0
1991-1992,1,0,Mallorca       ,Real Madrid    ,0-0
1991-1992,1,0,Espanyol       ,Sporting Gijón ,2-0
1991-1992,1,0,Real Sociedad  ,Sevilla        ,2-1
1991-1992,1,0,Zaragoza       ,Ath. Bilbao    ,1-0
1991-1992,1,0,Oviedo         ,Valladolid     ,2-1
1991-1992,1,0,At. Madrid     ,Cádiz          ,5-1
1991-1992,1,0,Osasuna        ,Tenerife       ,2-0
1991-1992,1,0,Valencia       ,Barcelona      ,1-0
1991-1992,1,1,Barcelona      ,Albacete       ,7-1
1991-1992,1,1,Dptivo. Coruña ,Burgos (Real)  ,2-2
1991-1992,1,1,Logroñés       ,Mallorca       ,2-1
1991-1992,1,1,Real Madrid    ,Espanyol       ,7-0
1991-1992,1,1,Sporting Gijón ,Real Sociedad  ,0-1
1991-1992,1,1,Sevilla        ,Zaragoza       ,3-0
1991-1992,1,1,Ath. Bilbao    ,Oviedo         ,0-0
1991-1992,1,1,Valladolid     ,At. Madrid     ,0-1
1991-1992,1,1,Cádiz          ,Osasuna        ,2-2
1991-1992,1,1,Tenerife       ,Valencia       ,2-1
1991-1992,1,2,Burgos (Real)  ,Albacete       ,3-1
1991-1992,1,2,Mallorca       ,Dptivo. Coruña ,4-2
1991-1992,1,2,Espanyol       ,Logroñés       ,3-0
1991-1992,1,2,Real Sociedad  ,Real Madrid    ,2-2
1991-1992,1,2,Zaragoza       ,Sporting Gijón ,3-1
1991-1992,1,2,Oviedo         ,Sevilla        ,1-0
1991-1992,1,2,At. Madrid     ,Ath. Bilbao    ,3-1
1991-1992,1,2,Osasuna        ,Valladolid     ,1-1
1991-1992,1,2,Valencia       ,Cádiz          ,4-0
1991-1992,1,2,Tenerife       ,Barcelona      ,2-1
1991-1992,1,3,Barcelona      ,Burgos (Real)  ,1-1
1991-1992,1,3,Albacete       ,Mallorca       ,1-0
1991-1992,1,3,Dptivo. Coruña ,Espanyol       ,2-2
1991-1992,1,3,Logroñés       ,Real Sociedad  ,1-1
1991-1992,1,3,Real Madrid    ,Zaragoza       ,2-0
1991-1992,1,3,Sporting Gijón ,Oviedo         ,1-0
1991-1992,1,3,Sevilla        ,At. Madrid     ,0-1
1991-1992,1,3,Ath. Bilbao    ,Osasuna        ,2-1
1991-1992,1,3,Valladolid     ,Valencia       ,1-4
1991-1992,1,3,Cádiz          ,Tenerife       ,0-0
1991-1992,1,4,Mallorca       ,Burgos (Real)  ,2-2
1991-1992,1,4,Espanyol       ,Albacete       ,2-0
1991-1992,1,4,Real Sociedad  ,Dptivo. Coruña ,1-1
1991-1992,1,4,Zaragoza       ,Logroñés       ,3-2
1991-1992,1,4,Oviedo         ,Real Madrid    ,1-0
1991-1992,1,4,At. Madrid     ,Sporting Gijón ,2-1
1991-1992,1,4,Osasuna        ,Sevilla        ,1-0
1991-1992,1,4,Valencia       ,Ath. Bilbao    ,3-1
1991-1992,1,4,Tenerife       ,Valladolid     ,0-0
1991-1992,1,4,Cádiz          ,Barcelona      ,0-2
1991-1992,1,5,Barcelona      ,Mallorca       ,3-0
1991-1992,1,5,Burgos (Real)  ,Espanyol       ,2-1
1991-1992,1,5,Albacete       ,Real Sociedad  ,0-1
1991-1992,1,5,Dptivo. Coruña ,Zaragoza       ,3-0
1991-1992,1,5,Logroñés       ,Oviedo         ,2-0
1991-1992,1,5,Real Madrid    ,At. Madrid     ,3-2
1991-1992,1,5,Sporting Gijón ,Osasuna        ,1-0
1991-1992,1,5,Sevilla        ,Valencia       ,2-3
1991-1992,1,5,Ath. Bilbao    ,Tenerife       ,3-1
1991-1992,1,5,Valladolid     ,Cádiz          ,2-2
1991-1992,1,6,Espanyol       ,Mallorca       ,3-2
1991-1992,1,6,Real Sociedad  ,Burgos (Real)  ,4-0
1991-1992,1,6,Zaragoza       ,Albacete       ,1-0
1991-1992,1,6,Oviedo         ,Dptivo. Coruña ,2-1
1991-1992,1,6,At. Madrid     ,Logroñés       ,2-1
1991-1992,1,6,Osasuna        ,Real Madrid    ,1-1
1991-1992,1,6,Valencia       ,Sporting Gijón ,3-1
1991-1992,1,6,Tenerife       ,Sevilla        ,4-1
1991-1992,1,6,Cádiz          ,Ath. Bilbao    ,1-0
1991-1992,1,6,Valladolid     ,Barcelona      ,0-6
1991-1992,1,7,Espanyol       ,Barcelona      ,0-4
1991-1992,1,7,Mallorca       ,Real Sociedad  ,2-1
1991-1992,1,7,Burgos (Real)  ,Zaragoza       ,0-1
1991-1992,1,7,Albacete       ,Oviedo         ,2-0
1991-1992,1,7,Dptivo. Coruña ,At. Madrid     ,1-1
1991-1992,1,7,Logroñés       ,Osasuna        ,0-0
1991-1992,1,7,Real Madrid    ,Valencia       ,2-1
1991-1992,1,7,Sporting Gijón ,Tenerife       ,1-1
1991-1992,1,7,Sevilla        ,Cádiz          ,0-0
1991-1992,1,7,Ath. Bilbao    ,Valladolid     ,2-0
1991-1992,1,8,Real Sociedad  ,Espanyol       ,1-1
1991-1992,1,8,Zaragoza       ,Mallorca       ,1-2
1991-1992,1,8,Oviedo         ,Burgos (Real)  ,3-1
1991-1992,1,8,At. Madrid     ,Albacete       ,4-1
1991-1992,1,8,Osasuna        ,Dptivo. Coruña ,0-1
1991-1992,1,8,Valencia       ,Logroñés       ,1-1
1991-1992,1,8,Tenerife       ,Real Madrid    ,3-2
1991-1992,1,8,Cádiz          ,Sporting Gijón ,1-1
1991-1992,1,8,Valladolid     ,Sevilla        ,1-0
1991-1992,1,8,Barcelona      ,Ath. Bilbao    ,2-0
1991-1992,2,1,Éibar          ,Sestao         ,1-0
1991-1992,2,1,Figueres       ,Mérida         ,2-0
1991-1992,2,1,Murcia         ,Málaga (C.D.)  ,2-1
1991-1992,2,1,Celta          ,Lleida         ,3-0
1991-1992,2,1,Compostela     ,Castellón      ,0-2
1991-1992,2,1,Rayo Vallecano ,Las Palmas     ,3-0
1991-1992,2,1,Real Madrid B  ,Barcelona B    ,1-0
1991-1992,2,1,Avilés         ,Palamós        ,1-0
1991-1992,2,1,Betis          ,Sabadell       ,2-0
1991-1992,2,1,Rac. Santander ,Ath. Bilbao B  ,3-0
1991-1992,2,2,Sestao         ,Rac. Santander ,1-2
1991-1992,2,2,Mérida         ,Éibar          ,1-0
1991-1992,2,2,Málaga (C.D.)  ,Figueres       ,0-5
1991-1992,2,2,Lleida         ,Murcia         ,2-0
1991-1992,2,2,Castellón      ,Celta          ,0-2
1991-1992,2,2,Las Palmas     ,Compostela     ,0-0
1991-1992,2,2,Barcelona B    ,Rayo Vallecano ,0-3
1991-1992,2,2,Palamós        ,Real Madrid B  ,2-2
1991-1992,2,2,Sabadell       ,Avilés         ,0-0
1991-1992,2,2,Ath. Bilbao B  ,Betis          ,3-3
1991-1992,2,3,Sestao         ,Mérida         ,2-1
1991-1992,2,3,Éibar          ,Málaga (C.D.)  ,1-0
1991-1992,2,3,Figueres       ,Lleida         ,1-3
1991-1992,2,3,Murcia         ,Castellón      ,3-0
1991-1992,2,3,Celta          ,Las Palmas     ,3-0
1991-1992,2,3,Compostela     ,Barcelona B    ,1-1
1991-1992,2,3,Rayo Vallecano ,Palamós        ,4-0
1991-1992,2,3,Real Madrid B  ,Sabadell       ,2-1
1991-1992,2,3,Avilés         ,Ath. Bilbao B  ,1-1
1991-1992,2,3,Rac. Santander ,Betis          ,0-1
1991-1992,2,4,Mérida         ,Rac. Santander ,1-1
1991-1992,2,4,Málaga (C.D.)  ,Sestao         ,0-0
1991-1992,2,4,Lleida         ,Éibar          ,2-0
1991-1992,2,4,Castellón      ,Figueres       ,1-3
1991-1992,2,4,Las Palmas     ,Murcia         ,1-1
1991-1992,2,4,Barcelona B    ,Celta          ,4-1
1991-1992,2,4,Palamós        ,Compostela     ,0-3
1991-1992,2,4,Sabadell       ,Rayo Vallecano ,1-2
1991-1992,2,4,Ath. Bilbao B  ,Real Madrid B  ,0-0
1991-1992,2,4,Betis          ,Avilés         ,2-0
1991-1992,2,5,Mérida         ,Málaga (C.D.)  ,3-0
1991-1992,2,5,Sestao         ,Lleida         ,0-0
1991-1992,2,5,Éibar          ,Castellón      ,1-0
1991-1992,2,5,Figueres       ,Las Palmas     ,1-1
1991-1992,2,5,Murcia         ,Barcelona B    ,2-1
1991-1992,2,5,Celta          ,Palamós        ,3-0
1991-1992,2,5,Compostela     ,Sabadell       ,0-1
1991-1992,2,5,Rayo Vallecano ,Ath. Bilbao B  ,1-0
1991-1992,2,5,Real Madrid B  ,Betis          ,3-1
1991-1992,2,5,Rac. Santander ,Avilés         ,1-0
1991-1992,2,6,Málaga (C.D.)  ,Rac. Santander ,2-1
1991-1992,2,6,Lleida         ,Mérida         ,2-2
1991-1992,2,6,Castellón      ,Sestao         ,2-0
1991-1992,2,6,Las Palmas     ,Éibar          ,0-1
1991-1992,2,6,Barcelona B    ,Figueres       ,0-0
1991-1992,2,6,Palamós        ,Murcia         ,2-2
1991-1992,2,6,Sabadell       ,Celta          ,0-1
1991-1992,2,6,Ath. Bilbao B  ,Compostela     ,0-0
1991-1992,2,6,Betis          ,Rayo Vallecano ,4-2
1991-1992,2,6,Avilés         ,Real Madrid B  ,3-0
1991-1992,2,7,Málaga (C.D.)  ,Lleida         ,0-1
1991-1992,2,7,Mérida         ,Castellón      ,1-1
1991-1992,2,7,Sestao         ,Las Palmas     ,2-0
1991-1992,2,7,Éibar          ,Barcelona B    ,2-1
1991-1992,2,7,Figueres       ,Palamós        ,2-0
1991-1992,2,7,Murcia         ,Sabadell       ,0-1
1991-1992,2,7,Celta          ,Ath. Bilbao B  ,1-0
1991-1992,2,7,Compostela     ,Betis          ,0-0
1991-1992,2,7,Rayo Vallecano ,Avilés         ,2-0
1991-1992,2,7,Rac. Santander ,Real Madrid B  ,2-0
1991-1992,2,8,Lleida         ,Rac. Santander ,0-1
1991-1992,2,8,Castellón      ,Málaga (C.D.)  ,1-1
1991-1992,2,8,Las Palmas     ,Mérida         ,0-2
1991-1992,2,8,Barcelona B    ,Sestao         ,2-1
1991-1992,2,8,Palamós        ,Éibar          ,3-0
1991-1992,2,8,Sabadell       ,Figueres       ,0-2
1991-1992,2,8,Ath. Bilbao B  ,Murcia         ,0-1
1991-1992,2,8,Betis          ,Celta          ,1-0
1991-1992,2,8,Avilés         ,Compostela     ,0-0
1991-1992,2,8,Real Madrid B  ,Rayo Vallecano ,3-1
1991-1992,2,9,Lleida         ,Castellón      ,4-1
1991-1992,2,9,Málaga (C.D.)  ,Las Palmas     ,2-1
1991-1992,2,9,Mérida         ,Barcelona B    ,3-2
1991-1992,2,9,Sestao         ,Palamós        ,1-2
1991-1992,2,9,Éibar          ,Sabadell       ,0-0
1991-1992,2,9,Figueres       ,Ath. Bilbao B  ,3-2
1991-1992,2,9,Murcia         ,Betis          ,1-0
1991-1992,2,9,Celta          ,Avilés         ,2-0
1991-1992,2,9,Compostela     ,Real Madrid B  ,2-0
1991-1992,2,9,Rac. Santander ,Rayo Vallecano ,0-0
1991-1992,2,0,Castellón      ,Rac. Santander ,2-0
1991-1992,2,0,Las Palmas     ,Lleida         ,1-2
1991-1992,2,0,Barcelona B    ,Málaga (C.D.)  ,2-0
1991-1992,2,0,Palamós        ,Mérida         ,3-2
1991-1992,2,0,Sabadell       ,Sestao         ,1-1
1991-1992,2,0,Ath. Bilbao B  ,Éibar          ,1-0
1991-1992,2,0,Betis          ,Figueres       ,3-0
1991-1992,2,0,Avilés         ,Murcia         ,3-2
1991-1992,2,0,Real Madrid B  ,Celta          ,0-1
1991-1992,2,0,Rayo Vallecano ,Compostela     ,1-0
1991-1992,2,1,Castellón      ,Las Palmas     ,0-0
1991-1992,2,1,Lleida         ,Barcelona B    ,1-1
1991-1992,2,1,Málaga (C.D.)  ,Palamós        ,1-1
1991-1992,2,1,Mérida         ,Sabadell       ,0-1
1991-1992,2,1,Sestao         ,Ath. Bilbao B  ,0-1
1991-1992,2,1,Éibar          ,Betis          ,0-0
1991-1992,2,1,Figueres       ,Avilés         ,1-0
1991-1992,2,1,Murcia         ,Real Madrid B  ,0-1
1991-1992,2,1,Celta          ,Rayo Vallecano ,1-0
1991-1992,2,1,Rac. Santander ,Compostela     ,0-2
1991-1992,2,2,Las Palmas     ,Rac. Santander ,1-1
1991-1992,2,2,Barcelona B    ,Castellón      ,3-2
1991-1992,2,2,Palamós        ,Lleida         ,1-0
1991-1992,2,2,Sabadell       ,Málaga (C.D.)  ,1-2
1991-1992,2,2,Ath. Bilbao B  ,Mérida         ,1-2
1991-1992,2,2,Betis          ,Sestao         ,4-1
1991-1992,2,2,Avilés         ,Éibar          ,0-0
1991-1992,2,2,Real Madrid B  ,Figueres       ,1-1
1991-1992,2,2,Rayo Vallecano ,Murcia         ,0-0
1991-1992,2,2,Compostela     ,Celta          ,2-0
1991-1992,2,3,Las Palmas     ,Barcelona B    ,3-1
1991-1992,2,3,Castellón      ,Palamós        ,1-2
1991-1992,2,3,Lleida         ,Sabadell       ,0-1
1991-1992,2,3,Málaga (C.D.)  ,Ath. Bilbao B  ,1-0
1991-1992,2,3,Mérida         ,Betis          ,3-2
1991-1992,2,3,Sestao         ,Avilés         ,1-0
1991-1992,2,3,Éibar          ,Real Madrid B  ,1-0
1991-1992,2,3,Figueres       ,Rayo Vallecano ,1-2
1991-1992,2,3,Murcia         ,Compostela     ,0-0
1991-1992,2,3,Rac. Santander ,Celta          ,1-1
1991-1992,2,4,Barcelona B    ,Rac. Santander ,0-1
1991-1992,2,4,Palamós        ,Las Palmas     ,1-2
1991-1992,2,4,Sabadell       ,Castellón      ,0-2
1991-1992,2,4,Ath. Bilbao B  ,Lleida         ,1-0
1991-1992,2,4,Betis          ,Málaga (C.D.)  ,2-1
1991-1992,2,4,Avilés         ,Mérida         ,4-2
1991-1992,2,4,Real Madrid B  ,Sestao         ,0-2
1991-1992,2,4,Rayo Vallecano ,Éibar          ,2-0
1991-1992,2,4,Compostela     ,Figueres       ,0-0
1991-1992,2,4,Celta          ,Murcia         ,1-1
1991-1992,2,5,Barcelona B    ,Palamós        ,1-2
1991-1992,2,5,Las Palmas     ,Sabadell       ,1-0
1991-1992,2,5,Castellón      ,Ath. Bilbao B  ,3-1
1991-1992,2,5,Lleida         ,Betis          ,6-2
1991-1992,2,5,Málaga (C.D.)  ,Avilés         ,1-0
1991-1992,2,5,Mérida         ,Real Madrid B  ,2-2
1991-1992,2,5,Sestao         ,Rayo Vallecano ,1-0
1991-1992,2,5,Éibar          ,Compostela     ,0-0
1991-1992,2,5,Figueres       ,Celta          ,2-0
1991-1992,2,5,Rac. Santander ,Murcia         ,3-1
1991-1992,2,6,Palamós        ,Rac. Santander ,1-0
1991-1992,2,6,Sabadell       ,Barcelona B    ,1-2
1991-1992,2,6,Ath. Bilbao B  ,Las Palmas     ,2-5
1991-1992,2,6,Betis          ,Castellón      ,1-1
1991-1992,2,6,Avilés         ,Lleida         ,0-1
1991-1992,2,6,Real Madrid B  ,Málaga (C.D.)  ,1-1
1991-1992,2,6,Rayo Vallecano ,Mérida         ,1-2
1991-1992,2,6,Compostela     ,Sestao         ,1-2
1991-1992,2,6,Celta          ,Éibar          ,1-1
1991-1992,2,6,Murcia         ,Figueres       ,0-0
1991-1992,2,7,Palamós        ,Sabadell       ,1-1
1991-1992,2,7,Barcelona B    ,Ath. Bilbao B  ,2-0
1991-1992,2,7,Las Palmas     ,Betis          ,1-0
1991-1992,2,7,Castellón      ,Avilés         ,1-0
1991-1992,2,7,Lleida         ,Real Madrid B  ,1-0
1991-1992,2,7,Málaga (C.D.)  ,Rayo Vallecano ,0-1
1991-1992,2,7,Mérida         ,Compostela     ,0-1
1991-1992,2,7,Sestao         ,Celta          ,0-0
1991-1992,2,7,Éibar          ,Murcia         ,0-0
1991-1992,2,7,Rac. Santander ,Figueres       ,1-2
1991-1992,2,8,Rac. Santander ,Sabadell       ,1-0
1991-1992,2,8,Ath. Bilbao B  ,Palamós        ,1-0
1991-1992,2,8,Betis          ,Barcelona B    ,1-0
1991-1992,2,8,Avilés         ,Las Palmas     ,1-2
1991-1992,2,8,Real Madrid B  ,Castellón      ,3-1
1991-1992,2,8,Rayo Vallecano ,Lleida         ,1-0
1991-1992,2,8,Compostela     ,Málaga (C.D.)  ,1-0
1991-1992,2,8,Celta          ,Mérida         ,2-2
1991-1992,2,8,Murcia         ,Sestao         ,0-0
1991-1992,2,8,Figueres       ,Éibar          ,0-0
1991-1992,2,9,Sabadell       ,Ath. Bilbao B  ,2-0
1991-1992,2,9,Palamós        ,Betis          ,1-0
1991-1992,2,9,Barcelona B    ,Avilés         ,5-2
1991-1992,2,9,Las Palmas     ,Real Madrid B  ,1-2
1991-1992,2,9,Castellón      ,Rayo Vallecano ,2-1
1991-1992,2,9,Lleida         ,Compostela     ,2-0
1991-1992,2,9,Málaga (C.D.)  ,Celta          ,0-2
1991-1992,2,9,Mérida         ,Murcia         ,3-0
1991-1992,2,9,Sestao         ,Figueres       ,0-1
1991-1992,2,9,Éibar          ,Rac. Santander ,0-1
1991-1992,2,0,Sestao         ,Éibar          ,0-1
1991-1992,2,0,Mérida         ,Figueres       ,1-2
1991-1992,2,0,Málaga (C.D.)  ,Murcia         ,1-0
1991-1992,2,0,Lleida         ,Celta          ,2-0
1991-1992,2,0,Castellón      ,Compostela     ,0-1
1991-1992,2,0,Las Palmas     ,Rayo Vallecano ,3-0
1991-1992,2,0,Barcelona B    ,Real Madrid B  ,3-3
1991-1992,2,0,Palamós        ,Avilés         ,0-1
1991-1992,2,0,Sabadell       ,Betis          ,3-0
1991-1992,2,0,Ath. Bilbao B  ,Rac. Santander ,1-1
1991-1992,2,1,Rac. Santander ,Sestao         ,4-0
1991-1992,2,1,Éibar          ,Mérida         ,0-0
1991-1992,2,1,Figueres       ,Málaga (C.D.)  ,0-1
1991-1992,2,1,Murcia         ,Lleida         ,0-0
1991-1992,2,1,Celta          ,Castellón      ,1-1
1991-1992,2,1,Compostela     ,Las Palmas     ,2-0
1991-1992,2,1,Rayo Vallecano ,Barcelona B    ,1-4
1991-1992,2,1,Real Madrid B  ,Palamós        ,0-0
1991-1992,2,1,Avilés         ,Sabadell       ,0-1
1991-1992,2,1,Betis          ,Ath. Bilbao B  ,0-0
1991-1992,2,2,Mérida         ,Sestao         ,0-1
1991-1992,2,2,Málaga (C.D.)  ,Éibar          ,0-0
1991-1992,2,2,Lleida         ,Figueres       ,1-1
1991-1992,2,2,Castellón      ,Murcia         ,1-0
1991-1992,2,2,Las Palmas     ,Celta          ,1-2
1991-1992,2,2,Barcelona B    ,Compostela     ,1-0
1991-1992,2,2,Palamós        ,Rayo Vallecano ,0-0
1991-1992,2,2,Sabadell       ,Real Madrid B  ,1-0
1991-1992,2,2,Ath. Bilbao B  ,Avilés         ,2-0
1991-1992,2,2,Betis          ,Rac. Santander ,3-0
1991-1992,2,3,Rac. Santander ,Mérida         ,0-1
1991-1992,2,3,Sestao         ,Málaga (C.D.)  ,0-1
1991-1992,2,3,Éibar          ,Lleida         ,0-0
1991-1992,2,3,Figueres       ,Castellón      ,0-0
1991-1992,2,3,Murcia         ,Las Palmas     ,2-1
1991-1992,2,3,Celta          ,Barcelona B    ,2-0
1991-1992,2,3,Compostela     ,Palamós        ,1-0
1991-1992,2,3,Rayo Vallecano ,Sabadell       ,2-0
1991-1992,2,3,Real Madrid B  ,Ath. Bilbao B  ,0-3
1991-1992,2,3,Avilés         ,Betis          ,2-2
1991-1992,2,4,Málaga (C.D.)  ,Mérida         ,1-1
1991-1992,2,4,Lleida         ,Sestao         ,1-0
1991-1992,2,4,Castellón      ,Éibar          ,1-0
1991-1992,2,4,Las Palmas     ,Figueres       ,1-2
1991-1992,2,4,Barcelona B    ,Murcia         ,2-2
1991-1992,2,4,Palamós        ,Celta          ,0-0
1991-1992,2,4,Sabadell       ,Compostela     ,3-0
1991-1992,2,4,Ath. Bilbao B  ,Rayo Vallecano ,0-1
1991-1992,2,4,Betis          ,Real Madrid B  ,1-0
1991-1992,2,4,Avilés         ,Rac. Santander ,1-0
1991-1992,2,5,Rac. Santander ,Málaga (C.D.)  ,5-2
1991-1992,2,5,Mérida         ,Lleida         ,0-0
1991-1992,2,5,Sestao         ,Castellón      ,1-0
1991-1992,2,5,Éibar          ,Las Palmas     ,1-0
1991-1992,2,5,Figueres       ,Barcelona B    ,3-0
1991-1992,2,5,Murcia         ,Palamós        ,2-1
1991-1992,2,5,Celta          ,Sabadell       ,2-0
1991-1992,2,5,Compostela     ,Ath. Bilbao B  ,0-3
1991-1992,2,5,Rayo Vallecano ,Betis          ,3-0
1991-1992,2,5,Real Madrid B  ,Avilés         ,2-1
1991-1992,2,6,Lleida         ,Málaga (C.D.)  ,0-1
1991-1992,2,6,Castellón      ,Mérida         ,0-2
1991-1992,2,6,Las Palmas     ,Sestao         ,0-0
1991-1992,2,6,Barcelona B    ,Éibar          ,1-0
1991-1992,2,6,Palamós        ,Figueres       ,0-0
1991-1992,2,6,Sabadell       ,Murcia         ,1-0
1991-1992,2,6,Ath. Bilbao B  ,Celta          ,0-0
1991-1992,2,6,Betis          ,Compostela     ,3-1
1991-1992,2,6,Avilés         ,Rayo Vallecano ,0-2
1991-1992,2,6,Real Madrid B  ,Rac. Santander ,4-0
1991-1992,2,7,Rac. Santander ,Lleida         ,0-4
1991-1992,2,7,Málaga (C.D.)  ,Castellón      ,0-0
1991-1992,2,7,Mérida         ,Las Palmas     ,3-2
1991-1992,2,7,Sestao         ,Barcelona B    ,4-1
1991-1992,2,7,Éibar          ,Palamós        ,2-0
1991-1992,2,7,Figueres       ,Sabadell       ,2-1
1991-1992,2,7,Murcia         ,Ath. Bilbao B  ,1-0
1991-1992,2,7,Celta          ,Betis          ,3-0
1991-1992,2,7,Compostela     ,Avilés         ,5-1
1991-1992,2,7,Rayo Vallecano ,Real Madrid B  ,4-0
1991-1992,2,8,Castellón      ,Lleida         ,2-0
1991-1992,2,8,Las Palmas     ,Málaga (C.D.)  ,1-2
1991-1992,2,8,Barcelona B    ,Mérida         ,5-3
1991-1992,2,8,Palamós        ,Sestao         ,3-1
1991-1992,2,8,Sabadell       ,Éibar          ,1-0
