Logroñes,Cadiz,2,Logroñes,1972-1973,2ª,3,3
Rac. Santander,Cordoba,2,Rac. Santander,1972-1973,2ª,1,0
Rayo Vallecano,Pontevedra,3,Rayo Vallecano,1972-1973,2ª,2,2
Mallorca,Gimn. Tarragona,3,Mallorca,1972-1973,2ª,2,0
Barakaldo,Cult. Leonesa,3,Barakaldo,1972-1973,2ª,1,2
Sant Andreu,Tenerife,3,Sant Andreu,1972-1973,2ª,1,0
Elche,Hercules,3,Elche,1972-1973,2ª,3,0
Sevilla,Murcia,3,Sevilla,1972-1973,2ª,1,1
Valladolid,Sabadell,3,Valladolid,1972-1973,2ª,1,1
Valencia B,Logroñes,3,Valencia B,1972-1973,2ª,1,1
Cadiz,Rac. Santander,3,Cadiz,1972-1973,2ª,0,1
Osasuna,Cordoba,3,Osasuna,1972-1973,2ª,2,2
Pontevedra,Osasuna,4,Pontevedra,1972-1973,2ª,1,2
Gimn. Tarragona,Rayo Vallecano,4,Gimn. Tarragona,1972-1973,2ª,2,0
Cult. Leonesa,Mallorca,4,Cult. Leonesa,1972-1973,2ª,0,0
Tenerife,Barakaldo,4,Tenerife,1972-1973,2ª,0,0
Hercules,Sant Andreu,4,Hercules,1972-1973,2ª,1,0
Murcia,Elche,4,Murcia,1972-1973,2ª,2,0
Sabadell,Sevilla,4,Sabadell,1972-1973,2ª,0,1
Logroñes,Valladolid,4,Logroñes,1972-1973,2ª,1,2
Rac. Santander,Valencia B,4,Rac. Santander,1972-1973,2ª,2,0
Cordoba,Cadiz,4,Cordoba,1972-1973,2ª,2,0
Pontevedra,Gimn. Tarragona,5,Pontevedra,1972-1973,2ª,3,0
Rayo Vallecano,Cult. Leonesa,5,Rayo Vallecano,1972-1973,2ª,1,1
Mallorca,Tenerife,5,Mallorca,1972-1973,2ª,3,0
Barakaldo,Hercules,5,Barakaldo,1972-1973,2ª,2,0
Sant Andreu,Murcia,5,Sant Andreu,1972-1973,2ª,3,2
Elche,Sabadell,5,Elche,1972-1973,2ª,1,0
Sevilla,Logroñes,5,Sevilla,1972-1973,2ª,0,0
Valladolid,Rac. Santander,5,Valladolid,1972-1973,2ª,0,0
Valencia B,Cordoba,5,Valencia B,1972-1973,2ª,0,1
Osasuna,Cadiz,5,Osasuna,1972-1973,2ª,1,0
Gimn. Tarragona,Osasuna,6,Gimn. Tarragona,1972-1973,2ª,1,0
Cult. Leonesa,Pontevedra,6,Cult. Leonesa,1972-1973,2ª,1,1
Tenerife,Rayo Vallecano,6,Tenerife,1972-1973,2ª,1,0
Hercules,Mallorca,6,Hercules,1972-1973,2ª,2,0
Murcia,Barakaldo,6,Murcia,1972-1973,2ª,6,0
Sabadell,Sant Andreu,6,Sabadell,1972-1973,2ª,1,1
Logroñes,Elche,6,Logroñes,1972-1973,2ª,0,1
Rac. Santander,Sevilla,6,Rac. Santander,1972-1973,2ª,1,0
Cordoba,Valladolid,6,Cordoba,1972-1973,2ª,2,3
Cadiz,Valencia B,6,Cadiz,1972-1973,2ª,1,1
Gimn. Tarragona,Cult. Leonesa,7,Gimn. Tarragona,1972-1973,2ª,4,0
Pontevedra,Tenerife,7,Pontevedra,1972-1973,2ª,2,1
Rayo Vallecano,Hercules,7,Rayo Vallecano,1972-1973,2ª,2,1
Mallorca,Murcia,7,Mallorca,1972-1973,2ª,1,0
